Club	Last Name	First Name	Position	Base Salary	Guaranteed Compensation
DC	Dykstra	Andrew	D	48825	48825
CHI	Earnshaw	Robert	F	204000	206250
NY	Eckersley	Richard	D	255000	373333
PHI	Edu	Maurice	M	650000	650000
KC	Ellis	Kevin	D	48825	49575
COL	Eloundou	Charles	F	48825	53825
DAL	Escobar	Andres	F	625000	647000
DC	Espindola	Fabian	F	150000	150000
DC	Estrada	David	F	48825	48825
SEA	Evans	Brad	F	267665	293666
POR	Evans	Steven	M	48825	53825
PHI	Fabinho	.	D	96000	100500
NE	Fagundez	Diego	F	110000	137200
NE	Farrell	Andrew	D	95000	176000
KC	Feilhaber	Benny	M	325000	337187
PHI	Fernandes	Leo	M	48500	48500
RSL	Fernandez	Eduardo	D	36500	36500
POR	Fernandez	Gaston	F	150000	150000
DAL	Fernandez	Raul	D	160000	247500
VAN	Fernandez	Sebastian	M	143000	143000
MTL	Ferrari	Matteo	D	300000	355475
RSL	Findley	Robbie	F	215000	245500
CLB	Finlay	Ethan	F	50847	65847
CHV	Finley	Ryan	F	51150	78650
POR	Fochive	George	M	36500	36500
CHI	Fondy	Matthew	F	48500	48500
SEA	Ford	Josh	D	48500	50239
SJ	Francis	Shaun	D	55000	57889
CLB	Francis	Waylon	D	125000	153875
CHI	Franco	Marco	D	36500	36500
DC	Franklin	Sean	D	178333	209999
SEA	Frei	Stefan	D	150000	150000
CLB	Friedman	Ross	D	36500	36500
LA	Friend	Rob	F	85000	91000
VAN	Froese	Kianz	M	44004	48504
SJ	Fucito	Michael	M	57750	60639
PHI	Gaddis	Raymon	D	52313	52313
MTL	Gagnon-Lapare	Jeremy	M	36504	40504
CLB	Gall	Romain	M	48504	51885
POR	Gallego	Bryan	D	36500	36750
DAL	Garcia	Danny	M	55000	71000
RSL	Garcia	Olmes	F	125000	125000
LA	Garcia	Rafael	M	48825	48825
LA	Gargan	Dan	D	48500	48500
HOU	Garrido	Luis	M	150000	150000
CLB	Gehrig	Eric	M	48825	48825
CLB	George	Kevan	M	48825	48825
RSL	Gil	Luis	M	220000	315083
RSL	Glad	Justen	D	36500	47500
POR	Gleeson	Jake	D	66000	69493
TOR	Goncalves	Jackson	D	150000	202500
NE	Goncalves	Jose	D	450000	479375
DAL	Gonzalez	Jesse	D	48500	48500
SEA	Gonzalez	Leonardo	D	150000	150000
LA	Gonzalez	Omar	D	1000000	1250000
MTL	Gonzalez	Santiago	M	50000	50000
SJ	Goodson	Clarence	D	315000	342000
LA	Gordon	Alan	F	185000	206666
SJ	Gorlitz	Andreas	D	90000	99737
RSL	Grabavoy	Ned	M	160000	175000
RSL	Grossman	Cole	M	48825	48825
KC	Gruenebaum	Andy	D	85000	85000
TOR	Hagglund	Nick	D	48500	48500
